,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill,average_hi,average_max_daily_hi,avg_hrs_below_fr,total_hr_below_fr
936,29.0,-68.75,71.06151651446746,70.62448516502815,62.520722656250044,71.06151651446746,70.62448516502815,62.520722656250044,71.06151651446746,71.50134845176444,0.0,0.0
937,29.0,-68.125,70.9024443585686,70.46146286867986,62.63322265625004,70.9024443585686,70.46146286867986,62.63322265625004,70.9024443585686,71.37274607454799,0.0,0.0
938,29.0,-67.5,70.82158498356856,70.38538686688032,62.47853515625005,70.82158498356856,70.38538686688032,62.47853515625005,70.82158498356856,71.27896665423106,0.0,0.0
939,29.0,-66.875,70.95798333328767,70.52017862041349,62.90041015625005,70.95798333328767,70.52017862041349,62.90041015625005,70.95798333328767,71.39837940001762,0.0,0.0
940,29.5,-125.0,60.621972771119594,60.20545892951198,54.69686401367191,60.621972771119594,60.20545892951198,54.69686401367191,60.621972771119594,61.08906893269401,0.0,0.0
941,29.5,-124.375,60.52742615946227,60.08867796479993,54.87885253906254,60.52742615946227,60.08867796479993,54.87885253906254,60.52742615946227,60.97584494601481,0.0,0.0
942,29.5,-123.75,60.27897220054375,59.872968818578876,53.96940429687504,60.27897220054375,59.872968818578876,53.96940429687504,60.27897220054375,60.70301923773267,0.0,0.0
943,29.5,-123.125,60.288511789729135,59.896405495632976,53.21024902343754,60.288511789729135,59.896405495632976,53.21024902343754,60.288511789729135,60.69202982356043,0.0,0.0
944,29.5,-122.5,60.432474658408914,60.015072035200205,53.94567382812504,60.432474658408914,60.015072035200205,53.94567382812504,60.432474658408914,60.84075322869121,0.0,0.0
945,29.5,-121.875,60.58471307133028,60.122131951149996,52.87291381835942,60.58471307133028,60.122131951149996,52.87291381835942,60.58471307133028,61.040792044307445,0.0,0.0
946,29.5,-121.25,60.56400446002406,60.123878653879984,52.77118041992192,60.56400446002406,60.123878653879984,52.77118041992192,60.56400446002406,61.025806198977406,0.0,0.0
947,29.5,-120.625,60.49600279218702,60.051607748310275,53.39174316406255,60.49600279218702,60.051607748310275,53.39174316406255,60.49600279218702,60.966026378160166,0.0,0.0
948,29.5,-120.0,60.36810711978531,59.92070688311977,53.938367919921916,60.36810711978531,59.92070688311977,53.938367919921916,60.36810711978531,60.83030819324969,0.0,0.0
949,29.5,-119.375,60.39004027463083,59.91409842158978,53.525117187500044,60.39004027463083,59.91409842158978,53.525117187500044,60.39004027463083,60.85301100827343,0.0,0.0
950,29.5,-118.75,60.62898427041735,60.17098099269228,54.73053710937504,60.62898427041735,60.17098099269228,54.73053710937504,60.62898427041735,61.067057392248984,0.0,0.0
951,29.5,-118.125,60.87452500075441,60.326866496225456,56.59947631835942,60.87452500075441,60.326866496225456,56.59947631835942,60.87452500075441,61.3129246263826,0.0,0.0
952,29.5,-117.5,60.72637498319823,60.3232200228231,56.59942138671879,60.72637498319823,60.3232200228231,56.59942138671879,60.72637498319823,61.14087255585063,0.0,0.0
953,29.5,-116.875,60.62610066788924,60.22286361865789,56.50098388671879,60.62610066788924,60.22286361865789,56.50098388671879,60.62610066788924,61.04909474576462,0.0,0.0
954,29.5,-116.25,60.51447957413924,60.058426678261064,55.98374755859379,60.51447957413924,60.058426678261064,55.98374755859379,60.51447957413924,60.971884313004786,0.0,0.0
955,29.5,-115.625,61.25657270967295,59.586152823801825,52.71482055664067,61.25657270967295,59.586152823801825,52.71482055664067,61.25657270967295,62.22315055247108,0.0,0.0
956,29.5,-115.0,64.69630563628812,59.166126366090296,48.86169555664067,64.68793146655206,59.09913300820179,42.8992867045636,64.69475752756703,67.45490357816895,0.0,0.0
957,29.5,-114.375,63.73116782027687,57.9200070361877,48.728101806640666,63.70495760735331,57.710325332799165,42.65109054964741,63.72666271668107,66.58789589185395,0.0,0.0
958,29.5,-113.75,63.42722927822161,58.61347394278883,52.60962646484379,63.42722927822161,58.61347394278883,52.60962646484379,63.42722927822161,65.92408281304868,0.0,0.0
959,29.5,-113.125,62.62198327225251,60.75688680927411,54.46433837890629,62.62198327225251,60.75688680927411,54.46433837890629,62.62198327225251,63.8344029664458,0.0,0.0
960,29.5,-112.5,64.69171861284237,58.95365324899057,47.70027587890629,64.67600769693244,58.82796592171118,42.28086565913419,64.69171861284237,67.39246049859558,0.0,0.0
961,29.5,-111.875,67.28849156754747,56.116899386631,39.90415771484379,67.15841137183294,55.373991162121705,32.03871495542428,67.16001389874901,71.98324347774656,0.0,0.0
