,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp
378,27.0,-123.75,292.7614,292.74866,291.9403
379,27.0,-123.125,292.51678,292.50552,291.94812
380,27.0,-122.5,292.56146,292.54898,292.11612
381,27.0,-121.875,292.73944,292.72665,292.17468
382,27.0,-121.25,292.8271,292.81073,291.67468
383,27.0,-120.625,292.3539,292.33737,291.4325
384,27.0,-120.0,292.03146,292.01514,291.35437
385,27.0,-119.375,292.05606,292.03943,291.28406
386,27.0,-118.75,291.94635,291.92853,291.03406
387,27.0,-118.125,291.99023,291.97168,291.22937
388,27.0,-117.5,292.22653,292.2085,291.21405
389,27.0,-116.875,292.15128,292.13098,290.85468
390,27.0,-116.25,291.72614,291.70374,290.78436
391,27.0,-115.625,291.8188,291.79813,291.1828
392,27.0,-115.0,292.2013,292.0527,291.35437
393,27.0,-114.375,294.22824,292.50278,291.1927
394,27.0,-113.75,295.53546,289.2321,287.15158
395,27.0,-113.125,297.86212,288.48724,285.8547
396,27.0,-112.5,297.32376,287.5485,284.83322
397,27.0,-111.875,294.82034,291.83163,289.51096
398,27.0,-111.25,292.35388,292.3109,290.77658
399,27.0,-110.625,293.1576,292.32608,290.70627
400,27.0,-110.0,297.1139,291.74216,288.9094
401,27.0,-109.375,300.45755,291.51083,287.44846
402,27.0,-108.75,298.72092,289.93573,283.6555
403,27.0,-108.125,293.5387,285.63763,277.28635
404,27.0,-107.5,288.1851,280.80365,272.39035
405,27.0,-106.875,287.37244,279.2108,271.90695
406,27.0,-106.25,291.57492,281.8771,273.99045
407,27.0,-105.625,292.97522,283.20798,274.16232
408,27.0,-105.0,294.16867,284.38776,275.28244
409,27.0,-104.375,294.34808,284.6445,276.36057
410,27.0,-103.75,294.46075,284.82263,277.28635
411,27.0,-103.125,294.49664,285.30026,275.32736
412,27.0,-102.5,293.80487,285.16888,274.02463
413,27.0,-101.875,294.6724,281.44455,274.80896
414,27.0,-101.25,295.73422,283.2496,277.01013
415,27.0,-100.625,294.8807,283.59027,277.17224
416,27.0,-100.0,295.2672,284.85867,277.39294
417,27.0,-99.375,295.51703,285.7847,279.40662
418,27.0,-98.75,295.34946,286.08548,280.52307
419,27.0,-98.125,295.52145,286.7489,280.5387
420,27.0,-97.5,294.4995,290.3443,285.78015
421,27.0,-96.875,294.82288,294.79547,293.5452
422,27.0,-96.25,296.56976,296.55255,295.25818
423,27.0,-95.625,296.9008,296.8829,295.75037
424,27.0,-95.0,297.03458,297.01462,295.99603
425,27.0,-94.375,297.1154,297.09344,296.2136
426,27.0,-93.75,297.0748,297.05478,296.10797
427,27.0,-93.125,297.13983,297.1196,295.8736
428,27.0,-92.5,297.0187,296.99997,295.86578
429,27.0,-91.875,296.9255,296.90826,295.88922
430,27.0,-91.25,296.7714,296.7557,295.77203
431,27.0,-90.625,296.51712,296.50183,295.4709
432,27.0,-90.0,296.39288,296.37515,295.27985
433,27.0,-89.375,296.47772,296.46204,295.47418
434,27.0,-88.75,296.78284,296.75693,295.88547
435,27.0,-88.125,297.1438,297.11682,296.4176
436,27.0,-87.5,297.3479,297.32327,296.55823
437,27.0,-86.875,297.35684,297.33728,296.62073
438,27.0,-86.25,297.34427,297.3262,296.38895
439,27.0,-85.625,297.21597,297.19867,296.0298
440,27.0,-85.0,296.99652,296.97656,295.627
441,27.0,-84.375,296.87366,296.85403,295.4239
442,27.0,-83.75,296.66974,296.64734,295.4239
443,27.0,-83.125,295.33612,295.3041,293.6817
444,27.0,-82.5,293.6834,291.6026,287.43173
445,27.0,-81.875,293.7008,287.8243,279.20517
446,27.0,-81.25,294.29166,288.39236,278.7794
447,27.0,-80.625,294.06705,290.67828,283.32236
